Symbol;Interval;S.Pos;LOT(s);Open Time;Open Price;Close Time;Close Price;PIP P/L;Tot. $ P/L;Harvester ID;OpenDeals#;Closed by
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.11.12 11:15;133.4400;2013.11.12 12:56;133.6600;22;220.4400;59(88);2;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.11.12 08:45;133.3400;2013.11.12 11:00;133.4000;6;60.1800;59(87);2;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.08 06:00;131.6100;2013.11.12 09:37;133.5500;-194;-1945.8200;65(30);8;All related deals after TR
EURJPY;21;Long;21;2013.11.11 11:14;132.6100;2013.11.12 09:37;133.5500;94;1979.9220;65(30) TR;8;All related deals after TR
EURJPY;21;Long;21;2013.11.11 10:59;132.5900;2013.11.12 09:37;133.5300;94;1979.9220;64(65) TR;7;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.08 01:45;131.5900;2013.11.12 09:37;133.5300;-194;-1945.8200;64(65);7;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.11.12 07:25;133.3500;2013.11.12 09:20;133.4900;14;140.4200;58(171);1;Close all Deals(2)
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.11.11 16:55;133.1100;2013.11.12 06:15;133.3200;21;211.0500;58(170);1;Close All Deals command
EURJPY;21;Long;21;2013.11.08 21:58;132.4100;2013.11.12 03:15;133.3500;94;1983.8700;63(126) TR;6;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.07 22:10;131.4100;2013.11.12 03:15;133.3500;-194;-1949.7000;63(126);6;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.11.11 14:40;132.8500;2013.11.11 16:45;133.0000;15;151.0500;58(169);1;Close All Deals command
